Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Malik Monk,CHA,11,41,3.7,30.8%,0.66,27,2.5,10,0.9,32,2.9,31.3,40.6,2.4%,19.5%,2.4%,0.0%,26.8%,27.9
Malik Beasley,DEN,11,5,0.5,13.9%,0.80,4,0.4,2,0.2,4,0.4,50.0,50.0,0.0%,20.0%,0.0%,0.0%,40.0%,
Robin Lopez,CHI,26,1,0.0,0.3%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Michael Carter-Williams,CHA,15,40,2.7,35.7%,0.43,17,1.1,5,0.3,28,1.9,17.9,17.9,10.0%,22.5%,10.0%,2.5%,20.0%,6.1
Isaiah Whitehead,BKN,9,32,3.6,41.6%,0.88,28,3.1,12,1.3,25,2.8,48.0,50.0,6.3%,18.8%,6.3%,3.1%,40.6%,65.5
Lance Thomas,NYK,23,4,0.2,3.5%,1.50,6,0.3,3,0.1,3,0.1,100.0,100.0,0.0%,25.0%,0.0%,0.0%,75.0%,
Jae Crowder,CLE,27,3,0.1,1.2%,0.00,0,0.0,0,0.0,3,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Bryn Forbes,SAS,26,25,1.0,14.2%,1.00,25,1.0,12,0.5,22,0.8,54.5,56.8,12.0%,8.0%,12.0%,8.0%,48.0%,85.9
Frank Kaminsky,CHA,23,2,0.1,0.8%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Mangok Mathiang,CHA,11,5,0.5,26.3%,2.20,11,1.0,4,0.4,5,0.5,80.0,110.0,0.0%,0.0%,0.0%,0.0%,80.0%,
Jonathan Isaac,ORL,12,3,0.3,3.8%,0.67,2,0.2,1,0.1,2,0.2,50.0,50.0,0.0%,33.3%,0.0%,0.0%,33.3%,
