,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
,Emmanuel Mudiay,DEN,21,27,15,12,21.7,100.8,111.1,-10.3,24.4,1.51,21.6,2.4,11.2,6.8,14.3,45.7,50.8,23.5,101.46,8.6
,Wilson Chandler,DEN,30,23,12,11,29.9,108.1,105.0,3.0,10.8,1.64,18.4,4.9,12.3,8.5,11.3,48.4,52.7,15.1,100.12,6.7
,Monte Morris,DEN,22,1,1,0,3.0,50.0,84.1,-34.1,100,0.00,50.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,114.56,0.0
,Tyler Lydon,DEN,21,1,1,0,2.2,104.2,225.0,-120.8,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.21,0.0
,Gary Harris,DEN,23,25,14,11,33.5,110.5,104.9,5.6,13.4,1.64,16.6,2.6,7.7,5.2,10.1,55.7,57.9,19.4,98.65,9.2
,Nikola Jokic,DEN,22,21,12,9,29.4,108.4,103.2,5.2,23.8,2.09,23.5,9.7,31.8,20.4,11.2,56.8,60.9,21.6,99.49,18.1
,Juan Hernangomez,DEN,22,14,8,6,13.6,108.7,107.6,1.1,5.7,1.33,12.5,6.7,15.8,10.8,9.4,52.1,53.9,12.7,95.57,6.3
,Richard Jefferson,DEN,37,8,4,4,7.0,85.3,118.6,-33.3,22.6,0.00,31.5,0.0,6.0,2.8,0.0,34.6,36.2,12.0,98.10,3.2
,Trey Lyles,DEN,22,22,12,10,14.1,104.1,110.3,-6.2,8.2,1.00,9.8,5.7,21.8,13.5,9.8,60.1,63.2,19.2,99.26,13.5
,Henry Ellenson,DET,20,10,5,5,9.2,94.3,86.0,8.2,11.1,0.75,10.1,2.2,25.0,13.7,13.5,48.9,49.5,25.4,101.49,12.0
